taxa	log_of_highest_class_avg	class	LDA_effect_size	p_value	adj_p_value
Cutibacterium_acnes	5.500305223952124	ctrl_hse_child_VF	4.788857895468657	0.024401638012559464	0.05558150880638544
Cutibacterium_granulosum	3.548336291640618	ctrl_hse_child_VF	3.173238167840502	0.11475756731538597	0.15683534199769417
Propionibacterium_sp__oral_taxon_193	4.501027817384201	ctrl_hse_child_VF	3.8752533114455234	0.1943301707417843	0.24115610230276102
Rothia_mucilaginosa	4.415697018714317	ctrl_hse_child_VF	3.7414008985576834	0.050579832703514224	0.07976050541708012
Rothia_dentocariosa	3.8732043960486786	AD_hse_child_LE	3.382473521628762	0.4113956320865867	0.43249284398846294
Micrococcus_luteus	5.125894930764373	ctrl_hse_child_VF	4.369398748622994	0.20586496538040575	0.24115610230276102
Kocuria_palustris	4.070032695913349	ctrl_hse_child_VF	3.4838509796631336	0.06108448507960514	0.09275792178754856
Microbacterium_aurum	3.731573719781448	ctrl_hse_child_VF	3.2218734700077043	0.0265624520844421	0.05731897555063822
Dermacoccus_nishinomiyaensis	4.449332542466784	AD_hse_child_LE	4.0036995683930705	0.20003686222310524	0.24115610230276102
Actinomyces_oris	4.446623018749606	ctrl_hse_child_VF	3.878598450786568	0.03844962470555842	0.0685406353446911
Corynebacterium_ureicelerivorans	3.703945895660595	ctrl_hse_child_VF	3.2573444112204744	0.032700265351598784	0.06348256773970361
Streptococcus_mitis	4.841918397900051	ctrl_hse_child_VF	4.277717108323993	8.038212362832682e-4	0.006993373836058626
Streptococcus_oralis	4.292735403664769	ctrl_hse_child_VF	3.5883128006615537	0.012518613775147723	0.03421754431873711
Streptococcus_sanguinis	4.1127626776382895	ctrl_hse_child_VF	3.3928244132774856	0.006713075068631575	0.02502146161944496
Streptococcus_pneumoniae	4.646454210100701	ctrl_hse_child_VF	4.042492420223145	0.0023710626937388938	0.012151696305411831
Streptococcus_gordonii	3.6532526864431993	ctrl_hse_child_VF	3.2000290296528457	0.011948907083293022	0.03421754431873711
Streptococcus_parasanguinis	3.7310685411609805	ctrl_hse_child_VF	3.281197608101309	0.014369492433659857	0.036821824361253384
Streptococcus_salivarius	3.9909099972433073	ctrl_hse_child_VF	3.4689496102999255	0.0029431587107528107	0.013407723015651693
Streptococcus_sp__oral_taxon_431	3.913990727853337	ctrl_hse_child_VF	3.4564353867921276	0.0015204134419672015	0.010389491853442543
Streptococcus_pseudopneumoniae	4.051328268047677	ctrl_hse_child_VF	3.5356057967857715	8.528504678120276e-4	0.006993373836058626
Streptococcus_sp__NPS_308	3.550246771546372	ctrl_hse_child_VF	3.3047954935124517	0.007408650213302315	0.025312888228782908
Staphylococcus_aureus	5.381036419896932	AD_hse_child_LE	5.090756320378557	1.0643378360277009e-6	4.363785127713573e-5
Staphylococcus_epidermidis	4.752472944738991	AD_hse_child_LE	4.308446780960231	0.7177753022026829	0.7177753022026829
Staphylococcus_hominis	4.119854491917078	ctrl_hse_child_VF	3.6689541540417014	8.528504678120276e-4	0.006993373836058626
Staphylococcus_capitis	3.8637310046930176	AD_hse_child_LE	3.437811005063673	0.0906142129753339	0.12810974937892033
Veillonella_parvula	4.0183115222445505	ctrl_hse_child_VF	3.4943106812381757	0.004964548120907123	0.020354647295719203
Pseudomonas_aeruginosa	4.0656283429439295	AD_hse_child_LE	3.6338046267617155	0.30066212932878417	0.33316614331027433
Pseudomonas_putida	3.690861110872007	AD_hse_child_LE	3.206990643805795	0.587714857001415	0.6024077284264503
Moraxella_osloensis	4.834804735669319	ctrl_hse_child_VF	4.254445446380963	0.034063816835938523	0.06348256773970361
Acinetobacter_junii	3.9446020292725223	ctrl_hse_child_VF	3.490938932117963	0.02144639182258309	0.051723650866229806
Haemophilus_parainfluenzae	4.1730083121281245	ctrl_hse_child_VF	3.606034814254856	0.0023710626937388938	0.012151696305411831
Stenotrophomonas_maltophilia	3.9401178374799835	ctrl_hse_child_VF	3.395939224282815	0.3749952921350559	0.4046001836194024
Neisseria_subflava	4.127850630020894	ctrl_hse_child_VF	3.522142969907886	0.03011292418393877	0.06173149457707447
Neisseria_elongata	3.7029801060562053	AD_hse_child_LE	3.1510549995326307	0.16257957968936795	0.21502460539561566
Neisseria_sicca	3.94200905443739	AD_hse_child_LE	3.1952149325114205	0.26392654770756746	0.3005830126669518
Neisseria_mucosa	3.8759162355113213	AD_hse_child_LE	3.1510493163799502	0.2058572164214207	0.24115610230276102
Neisseria_meningitidis	3.816782849797971	ctrl_hse_child_VF	3.1787280723320994	0.04162937754382631	0.07102251822028342
Sphingomonas_melonis	3.626873215260096	ctrl_hse_child_VF	3.156237357025645	0.010380400325460431	0.03273818564183674
Roseomonas_sp__FDAARGOS_362	3.879137233678058	AD_hse_child_LE	3.2770218243922513	0.04330641354895331	0.07102251822028342
Magnetospirillum_gryphiswaldense	3.915268252291604	ctrl_hse_child_VF	3.5002656268669226	8.231427387966528e-5	0.0016874426145331383
Prevotella_melaninogenica	3.762621823686382	ctrl_hse_child_VF	3.249452210083003	0.0906142129753339	0.12810974937892033
